dataset,ratio,method,n_seeds,training_seeds,best_balanced_accuracy_mean,best_balanced_accuracy_std,final_balanced_accuracy_mean,final_balanced_accuracy_std,accuracy_mean,accuracy_std,worst_class_recall_mean,worst_class_recall_std,class_cvar20_mean,class_cvar20_std
pathmnist,0.02,el2n,5,"42,43,44,45,46",0.40297703707631854,0.023904961478400696,0.3636396074905968,0.023077077317695555,0.37721448467966573,0.026823261482409638,0.00023612750885478156,0.0005279971611569751,0.05284860114060156,0.0163429435670155
pathmnist,0.02,eva,5,"42,43,44,45,46",0.6252985791788663,0.046978736217123826,0.5468405804999358,0.055907936809713114,0.5297493036211699,0.047146297134984444,0.11807160619370308,0.06796758111359975,0.2010919805377839,0.05338655124696887
pathmnist,0.02,facility,5,"42,43,44,45,46",0.8241248771704633,0.009139466502171718,0.8109182115566891,0.01786521206168803,0.8557381615598886,0.01902259187689102,0.36294536817102135,0.03997279613864635,0.49745071964319226,0.03365116554636586
pathmnist,0.02,forgetting,5,"42,43,44,45,46",0.4835952518108684,0.028858719410605204,0.4098141165391309,0.044016043230500214,0.40927576601671306,0.04361595788099012,0.030536232808960083,0.06047072602890897,0.09743715806418768,0.023308927837467314
pathmnist,0.02,fps,5,"42,43,44,45,46",0.7667407192974525,0.00656950210423486,0.7459850196896365,0.013747550192939141,0.7764623955431755,0.016215611336249238,0.34441805225653205,0.028255052858361815,0.4380874045066444,0.04524531870546321
pathmnist,0.02,graph_a2,5,"42,43,44,45,46",0.8224248732309742,0.0045735275305558215,0.8128729539107,0.0044560889942616075,0.8539554317548746,0.0016289906982967447,0.33539192399049883,0.021271841498563527,0.4986081241574116,0.02411666155418841
pathmnist,0.02,herding,5,"42,43,44,45,46",0.8279667635485581,0.028059201185412976,0.8159876761708982,0.03735972471853501,0.8672980501392757,0.02700646528261498,0.37434679334916865,0.038979483562434095,0.49471146571707814,0.07929018305715962
pathmnist,0.02,random,5,"42,43,44,45,46",0.8378382247935681,0.015037427531118593,0.8109622654936657,0.01883848777562706,0.8433426183844012,0.01694488749502406,0.41852731591448933,0.03596045770598681,0.5151839491063643,0.045568549680981604
pathmnist,0.05,el2n,5,"42,43,44,45,46",0.5723736335777061,0.033668508435914755,0.5316009450245138,0.02408358758166799,0.5308635097493036,0.01619484329856298,0.00448642266824085,0.008068169805558387,0.1467842741360528,0.007430139186083286
pathmnist,0.05,eva,5,"42,43,44,45,46",0.7075862612700229,0.04249490881400701,0.6796711347245205,0.04273655391077365,0.687966573816156,0.05388240816565908,0.2744555036056055,0.09667909900495117,0.3327013635931899,0.06889747884205208
pathmnist,0.05,facility,5,"42,43,44,45,46",0.8696533754993835,0.020029830939309004,0.863041788326338,0.02112328764118869,0.897883008356546,0.014399524704444461,0.39239904988123514,0.026894403524405065,0.5817676705198251,0.036889239629248914
pathmnist,0.05,forgetting,5,"42,43,44,45,46",0.6477576332294994,0.027406620887469802,0.6108582424393644,0.02604499707749292,0.6011977715877437,0.023395344019746377,0.04415584415584416,0.09807680510476326,0.22139841044950534,0.053762554591911385
pathmnist,0.05,fps,5,"42,43,44,45,46",0.841689857943757,0.013458592827023915,0.8186736130692462,0.015445803255074646,0.852116991643454,0.013214841084597993,0.35391923990498814,0.021377672209026127,0.503047876350485,0.020363475205949746
pathmnist,0.05,graph_a2,5,"42,43,44,45,46",0.8769601189856826,0.008473387883632262,0.8648225807689626,0.010106175083547166,0.9025626740947076,0.00425372906268993,0.40427553444180525,0.018198557063542,0.5896616849439353,0.015841420421702543
pathmnist,0.05,herding,5,"42,43,44,45,46",0.8795255238909544,0.011348263689795184,0.8545004822105967,0.02916415385391243,0.8998607242339833,0.014981373071057399,0.43705463182897863,0.040064436563973876,0.5339258449745228,0.06451308492340176
pathmnist,0.05,random,5,"42,43,44,45,46",0.8842514146185186,0.002764132531351703,0.8691395052095915,0.01852701439801356,0.9063231197771588,0.009619409251586917,0.42992874109263657,0.054502583874507196,0.5844010085117173,0.0438357493412481
tissuemnist,0.02,el2n,5,"42,43,44,45,46",0.14220294691413352,0.006749950707853876,0.128239957655916,0.004576047517303437,0.10189932318104906,0.005290722456477443,0.04920540718760303,0.005397206778441646,0.05803303348298878,0.009171126062789485
tissuemnist,0.02,eva,5,"42,43,44,45,46",0.43098319087685105,0.00973338842173509,0.4002873175355985,0.02343605588951561,0.3572969543147208,0.02290996767466424,0.17305770104497956,0.02904546217569941,0.21622222342061045,0.01963037886579041
tissuemnist,0.02,facility,5,"42,43,44,45,46",0.4637477406609965,0.0060718656934947825,0.4488234668047395,0.014061187725025197,0.467258883248731,0.014043682658686501,0.34620394836670837,0.033521508308465855,0.36021377545354233,0.025023316018642452
