dataset,ratio,method,n_seeds,training_seeds,final_ACC_mean_pct,final_ACC_std_pct,final_BA_mean_pct,final_BA_std_pct
Path,5%,Herding,5,"42,43,44,45,46",89.98607242339833,1.49813730710573,85.45004822105967,2.91641538539124
Path,5%,Random,5,"42,43,44,45,46",90.63231197771589,0.9619409251586899,86.91395052095915,1.85270143980135
Tissue,2%,EL2N,5,"42,43,44,45,46",10.1899323181049,0.5290722456477399,12.8239957655916,0.45760475173034004
Tissue,2%,EVA,5,"42,43,44,45,46",35.72969543147208,2.29099676746642,40.028731753559846,2.34360558895156
Tissue,2%,FPS,5,"42,43,44,45,46",34.85067681895093,1.7384735673306302,34.95131181248634,1.11650378664825
Tissue,2%,Facility,5,"42,43,44,45,46",46.7258883248731,1.40436826586865,44.88234668047395,1.40611877250251
Tissue,2%,Forgetting,5,"42,43,44,45,46",36.54187817258883,1.15717903482824,40.13925907283446,0.49944410544632
Tissue,2%,Herding,5,"42,43,44,45,46",44.65482233502538,1.59382266074324,43.62936111097186,1.02394076996192
Tissue,2%,Random,5,"42,43,44,45,46",42.95769881556683,3.87743678156087,42.2822434111227,2.92988182397947
Tissue,5%,EL2N,5,"42,43,44,45,46",13.915397631133668,0.46644225385195004,17.20930658979768,0.5554685557497799
Tissue,5%,EVA,5,"42,43,44,45,46",40.80118443316413,0.75102831370751,44.39799140802519,0.53501288478874
Tissue,5%,FPS,5,"42,43,44,45,46",37.50761421319797,0.7129437658785199,37.85964458414214,0.54301038165221
Tissue,5%,Facility,5,"42,43,44,45,46",47.26903553299492,0.48050822002631,44.47334182017977,0.7546168833514
Tissue,5%,Forgetting,5,"42,43,44,45,46",37.45642978003384,1.32260946068181,42.17719589292866,0.48555409313517
Tissue,5%,Herding,5,"42,43,44,45,46",46.98942470389171,0.8142436859862,45.38449192075274,0.49131582253054
Tissue,5%,Random,5,"42,43,44,45,46",46.972081218274106,0.8763489528448,45.616891710669,1.1751316433324
